date,wanke_close,baoli_close
2018-01-02,32.56,14.61
2018-01-03,32.33,14.5
2018-01-04,33.12,14.5
2018-01-05,34.76,15.29
2018-01-08,35.99,15.6
2018-01-09,35.84,15.7
2018-01-10,35.67,15.88
2018-01-11,35.15,15.79
2018-01-12,35.55,15.72
2018-01-15,37.09,16.59
2018-01-16,40.2,17.68
2018-01-17,39.77,17.98
2018-01-18,39.76,17.58
2018-01-19,39.42,17.31
2018-01-22,39.53,17.54
2018-01-23,40.98,17.73
2018-01-24,41.13,17.83
2018-01-25,40.2,17.1
2018-01-26,40.04,17.19
2018-01-29,38.57,16.97
2018-01-30,36.36,16.52
2018-01-31,37.56,17.25
2018-02-01,37.5,17.59
2018-02-02,37.38,18.46
2018-02-05,36.99,18.67
2018-02-06,35.82,18.04
2018-02-07,32.98,16.33
2018-02-08,32.75,15.61
2018-02-09,31.27,14.21
2018-02-12,31.9,14.51
2018-02-13,32.73,15.12
2018-02-14,33.17,15.19
2018-02-22,33.7,15.46
2018-02-23,34.72,15.64
2018-02-26,34.18,15.09
2018-02-27,32.9,14.49
2018-02-28,32.7,14.6
2018-03-01,32.41,14.7
2018-03-02,32.28,14.8
2018-03-05,32.18,14.86
2018-03-06,33.67,15.57
2018-03-07,32.9,15.41
2018-03-08,33.64,15.54
2018-03-09,33.46,15.24
2018-03-12,32.62,14.56
2018-03-13,32.48,14.55
2018-03-14,32.7,14.57
2018-03-15,32.66,14.58
2018-03-16,32.63,14.61
2018-03-19,31.58,14.05
2018-03-20,31.34,13.93
2018-03-21,31.66,14.01
2018-03-22,31.18,13.6
2018-03-23,31.07,13.31
2018-03-26,30.33,13.05
2018-03-27,31.02,13.1
2018-03-28,31.33,13.08
2018-03-29,34.16,13.76
2018-03-30,33.29,13.47
2018-04-02,33.49,13.64
2018-04-03,33.64,13.53
2018-04-04,32.8,13.69
2018-04-09,31.62,13.48
2018-04-10,32.18,14.29
2018-04-11,32.61,14.54
2018-04-12,31.85,14.39
2018-04-13,31.25,14.03
2018-04-16,30.03,13.24
2018-04-17,29.92,13.14
2018-04-18,30.04,13.47
2018-04-19,30.23,13.44
2018-04-20,30.15,13.4
2018-04-23,29.91,13.55
2018-04-24,30.93,14.09
2018-04-25,30.12,13.86
2018-04-26,28.5,13.66
2018-04-27,28.4,13.12
2018-05-02,27.68,13.17
2018-05-03,27.33,13.04
2018-05-04,26.91,13.04
2018-05-07,27.38,13.51
2018-05-08,28.69,13.81
2018-05-09,28.2,13.89
2018-05-10,28.07,13.92
2018-05-11,27.94,13.7
2018-05-14,27.94,13.73
2018-05-15,27.75,13.96
2018-05-16,27.23,13.64
2018-05-17,26.79,13.62
2018-05-18,27.15,13.89
2018-05-21,27.07,13.76
2018-05-22,26.72,13.21
2018-05-23,26.8,12.86
2018-05-24,26.65,12.71
2018-05-25,26.39,12.75
2018-05-28,26.5,12.6
2018-05-29,25.6,12.43
2018-05-30,24.64,12.02
2018-05-31,25.59,12.37
2018-06-01,26.0,12.6
2018-06-04,27.3,13.28
2018-06-05,27.49,13.4
2018-06-06,26.99,13.28
2018-06-07,27.39,13.8
2018-06-08,26.71,13.07
2018-06-11,27.31,13.6
2018-06-12,27.71,13.64
2018-06-13,27.64,13.68
2018-06-14,27.37,13.65
2018-06-15,27.99,13.98
2018-06-19,27.1,13.49
2018-06-20,26.96,14.16
2018-06-21,27.73,14.18
2018-06-22,28.1,14.08
2018-06-25,26.49,13.07
2018-06-26,25.54,12.47
2018-06-27,24.22,11.92
2018-06-28,23.88,11.74
2018-06-29,24.6,12.19
2018-07-02,22.8,11.0
2018-07-03,23.42,11.14
2018-07-04,23.0,10.82
2018-07-05,23.05,10.72
2018-07-06,23.21,10.57
2018-07-09,24.01,11.15
2018-07-10,24.15,11.3
2018-07-11,23.46,11.01
2018-07-12,23.85,11.21
2018-07-13,23.72,11.18
2018-07-16,23.15,10.9
2018-07-17,22.98,10.93
2018-07-18,22.47,10.58
2018-07-19,22.68,10.67
2018-07-20,23.14,10.97
2018-07-23,23.75,11.58
2018-07-24,24.38,11.98
2018-07-25,24.18,12.03
2018-07-26,23.71,11.84
2018-07-27,23.32,11.83
2018-07-30,23.18,11.95
2018-07-31,23.32,12.13
2018-08-01,22.35,11.32
2018-08-02,21.38,10.87
2018-08-03,21.08,10.68
2018-08-06,20.86,10.51
2018-08-07,21.86,11.01
2018-08-08,21.5,10.71
2018-08-09,22.48,11.53
2018-08-10,23.18,11.69
2018-08-13,23.04,11.48
2018-08-14,22.32,11.06
2018-08-15,22.3,10.88
2018-08-16,22.72,11.0
2018-08-17,22.69,10.95
2018-08-20,23.35,11.25
2018-08-21,23.91,11.44
2018-08-22,23.92,11.34
2018-08-23,22.82,11.3
2018-08-24,22.78,11.32
2018-08-27,23.91,12.0
2018-08-28,23.88,11.98
2018-08-29,23.91,12.11
2018-08-30,23.5,11.87
2018-08-31,24.05,12.28
2018-09-03,23.55,12.17
2018-09-04,24.43,12.36
2018-09-05,23.41,11.84
2018-09-06,22.81,11.43
2018-09-07,23.21,11.52
2018-09-10,23.46,11.8
2018-09-11,23.34,11.65
2018-09-12,22.88,11.67
2018-09-13,23.1,11.86
2018-09-14,23.32,12.02
2018-09-17,22.83,11.97
2018-09-18,23.0,12.14
2018-09-19,24.17,12.71
2018-09-20,24.01,12.56
2018-09-21,25.8,13.15
2018-09-25,24.64,12.36
2018-09-26,24.67,12.4
2018-09-27,24.45,12.26
2018-09-28,24.3,12.17
2018-10-08,22.05,11.35
2018-10-09,21.82,11.22
2018-10-10,21.75,11.35
2018-10-11,20.93,10.98
2018-10-12,21.8,11.37
2018-10-15,21.47,11.05
2018-10-16,21.01,10.7
2018-10-17,21.22,10.88
2018-10-18,20.59,10.66
2018-10-19,21.56,11.17
2018-10-22,22.82,11.67
2018-10-23,22.14,11.32
2018-10-24,22.58,11.51
2018-10-25,23.49,12.15
2018-10-26,23.81,12.4
2018-10-29,22.8,12.08
2018-10-30,23.69,12.31
2018-10-31,24.23,12.6
2018-11-01,24.42,12.84
2018-11-02,24.62,12.69
2018-11-05,24.04,12.28
2018-11-06,24.14,12.5
2018-11-07,23.85,12.39
2018-11-08,23.99,12.38
2018-11-09,23.55,12.18
2018-11-12,23.88,12.35
2018-11-13,23.94,12.47
2018-11-14,24.15,12.61
2018-11-15,24.38,12.77
2018-11-16,24.78,13.0
2018-11-19,25.97,13.52
2018-11-20,25.65,13.29
2018-11-21,26.03,13.42
2018-11-22,25.63,13.22
2018-11-23,24.9,13.0
2018-11-26,25.19,13.05
2018-11-27,24.95,12.79
2018-11-28,25.88,13.36
2018-11-29,25.29,12.91
2018-11-30,25.44,13.1
2018-12-03,25.73,13.1
2018-12-04,25.13,12.68
2018-12-05,25.3,12.73
2018-12-06,25.1,12.68
2018-12-07,25.34,12.68
2018-12-10,25.0,12.44
2018-12-11,25.97,12.8
2018-12-12,26.35,12.89
2018-12-13,27.1,13.33
2018-12-14,26.46,13.0
2018-12-17,26.52,13.0
2018-12-18,25.5,12.53
2018-12-19,25.38,12.46
2018-12-20,25.3,12.37
2018-12-21,24.25,11.95
2018-12-24,23.88,11.97
2018-12-25,23.97,11.93
2018-12-26,23.8,11.81
2018-12-27,23.44,11.75
2018-12-28,23.82,11.79
2019-01-02,23.9,11.71
2019-01-03,24.07,11.9
2019-01-04,24.93,12.23
2019-01-07,25.05,12.16
2019-01-08,25.0,11.99
2019-01-09,25.33,12.14
2019-01-10,25.11,12.0
2019-01-11,25.3,11.99
2019-01-14,25.02,11.77
2019-01-15,25.16,11.68
2019-01-16,25.42,11.86
2019-01-17,24.97,11.77
2019-01-18,25.76,12.07
2019-01-21,25.65,12.04
2019-01-22,25.4,12.05
2019-01-23,25.31,11.91
2019-01-24,25.41,11.94
2019-01-25,26.1,12.3
2019-01-28,26.06,12.24
2019-01-29,26.88,12.59
2019-01-30,27.21,12.7
2019-01-31,27.75,12.88
2019-02-01,27.68,12.87
2019-02-11,27.67,12.86
2019-02-12,27.4,12.87
2019-02-13,27.77,13.28
2019-02-14,27.44,13.38
2019-02-15,26.55,12.67
2019-02-18,27.2,12.95
2019-02-19,27.03,12.79
2019-02-20,27.63,13.14
2019-02-21,26.95,12.86
2019-02-22,26.97,12.89
2019-02-25,28.39,13.62
2019-02-26,27.79,13.23
2019-02-27,28.01,13.3
2019-02-28,27.99,13.21
2019-03-01,28.54,13.35
2019-03-04,29.7,13.9
2019-03-05,29.94,14.16
2019-03-06,29.48,13.99
2019-03-07,28.57,13.53
2019-03-08,27.4,13.04
2019-03-11,27.45,13.03
2019-03-12,27.45,13.03
2019-03-13,27.81,13.25
2019-03-14,27.46,13.25
2019-03-15,28.07,13.78
2019-03-18,29.37,14.4
2019-03-19,29.15,14.24
2019-03-20,29.53,14.37
2019-03-21,29.55,14.14
2019-03-22,29.19,13.94
2019-03-25,28.16,13.46
2019-03-26,28.29,13.33
2019-03-27,28.95,13.69
2019-03-28,28.8,13.38
2019-03-29,30.72,14.24
2019-04-01,32.07,14.67
2019-04-02,31.99,14.44
2019-04-03,32.49,14.61
2019-04-04,32.22,14.55
